match_id,tournament_sheet,match_title,event_title,team_top,team_bottom,maps,active_blocks,match_start_row
Japan - Stage 1__match_0008,Japan - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 2,TOKYO TAIYOs,99DIVINE,Oasis; Esperança; Blizzard World; Watchpoint: Gibraltar,4,185
Japan - Stage 1__match_0009,Japan - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 3,VARREL,ENTER FORCE.36,Lijiang Tower; Esperança; Rialto; Numbani,4,211
Japan - Stage 1__match_0010,Japan - Stage 1,Round Robin [Bo5],Week 2 | Day 2 | Game 1,Telomere,Lazuli,Lijiang Tower; Numbani; Runasapi,3,237
Japan - Stage 1__match_0011,Japan - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 2,TOKYO TAIYOs,Please Not Hero Ban,Oasis; Suravasa; Blizzard World; Rialto; Esperança,5,263
Japan - Stage 1__match_0012,Japan - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 3,99DIVINE,ENTER FORCE.36,Oasis; Esperança; Watchpoint: Gibraltar,3,289
Japan - Stage 1__match_0013,Japan - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 1,99DIVINE,Please Not Hero Ban,Busan; Rialto; Esperança; Midtown,4,315
Japan - Stage 1__match_0014,Japan - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 2,Telomere,ENTER FORCE.36,Lijiang Tower; Aatlis; Blizzard World,3,341
Japan - Stage 1__match_0015,Japan - Stage 1,Round Robin [Bo5],Week 3 | Day 1 | Game 3,VARREL,Nyam Gaming,Busan; Aatlis; Havana,3,367
Japan - Stage 1__match_0016,Japan - Stage 1,Round Robin [Bo5],Week 3 | Day 2 | Game 1,VARREL,Lazuli,Oasis; Numbani; Havana,3,393
Japan - Stage 1__match_0017,Japan - Stage 1,Round Robin [Bo5],Week 3 | Day 2 | Game 2,Telomere,Nyam Gaming,Busan; Watchpoint: Gibraltar; Aatlis; Numbani,4,419
Japan - Stage 1__match_0018,Japan - Stage 1,Round Robin [Bo5],Week 3 | Day 2 | Game 3,ENTER FORCE.36,TOKYO TAIYOs,Lijiang Tower; Esperança; Watchpoint: Gibraltar; Blizzard World; Suravasa,5,445
Japan - Stage 1__match_0019,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 1 | Game 1,99DIVINE,Nyam Gaming,Lijiang Tower; Blizzard World; Suravasa; Rialto,4,471
Japan - Stage 1__match_0020,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 1 | Game 2,VARREL,Telomere,Busan; Rialto; Runasapi,3,497
Japan - Stage 1__match_0021,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 1 | Game 3,Lazuli,ENTER FORCE.36,Oasis; Runasapi; Havana,3,523
Japan - Stage 1__match_0022,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 2 | Game 1,Please Not Hero Ban,Nyam Gaming,Oasis; Aatlis; Rialto,3,549
Japan - Stage 1__match_0023,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 2 | Game 2,Lazuli,TOKYO TAIYOs,Lijiang Tower; Suravasa; Watchpoint: Gibraltar; Numbani,4,575
Japan - Stage 1__match_0024,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 2 | Game 3,99DIVINE,Telomere,Busan; Rialto; Aatlis; Numbani,4,601
Japan - Stage 1__match_0025,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 3 | Game 1,Please Not Hero Ban,ENTER FORCE.36,Lijiang Tower; Esperança; Blizzard World,3,627
Japan - Stage 1__match_0026,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 3 | Game 2,Lazuli,Nyam Gaming,Oasis; Suravasa; Watchpoint: Gibraltar; Blizzard World; Esperança,5,653
Japan - Stage 1__match_0027,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 3 | Game 3,VARREL,99DIVINE,Busan; Rialto; Aatlis,3,679
Japan - Stage 1__match_0028,Japan - Stage 1,Round Robin [Bo5],Week 4 | Day 3 | Game 4,TOKYO TAIYOs,Telomere,Lijiang Tower; Blizzard World; Aatlis,3,705
Japan - Stage 1__match_0029,Japan - Stage 1,Semifinals [Bo7],Week 5 | Day 1 | Game 1,ENTER FORCE.36,Please Not Hero Ban,Lijiang Tower; Esperança; Blizzard World; Watchpoint: Gibraltar,4,731
Japan - Stage 1__match_0030,Japan - Stage 1,Semifinals [Bo7],Week 5 | Day 1 | Game 2,VARREL,99DIVINE,Lijiang Tower; Esperança; Rialto; Blizzard World,4,757
Japan - Stage 1__match_0031,Japan - Stage 1,Third Place Match [Bo7],Week 5 | Day 2 | Game 1,Please Not Hero Ban,99DIVINE,Oasis; Blizzard World; Esperança; Rialto,4,783
Japan - Stage 1__match_0032,Japan - Stage 1,Grand Finals [Bo7],Week 5 | Day 2 | Game 2,VARREL,ENTER FORCE.36,Lijiang Tower; Aatlis; Watchpoint: Gibraltar; Midtown; Esperança,5,809
Korea - Stage 1__match_0001,Korea - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 1,Cheeseburger,Poker Face,Busan; Runasapi; Numbani,3,3
Korea - Stage 1__match_0002,Korea - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 2,Crazy Raccoon,ZETA DIVISION,Busan; Suravasa; Havana; Blizzard World,4,29
Korea - Stage 1__match_0003,Korea - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 3,ZAN Esports,RØDE ONSIDE GAMING,Busan; Runasapi; Midtown; Havana; Aatlis,5,55
Korea - Stage 1__match_0004,Korea - Stage 1,Round Robin [Bo5],Week 1 | Day 2 | Game 1,New Era,T1,Lijiang Tower; Blizzard World; Suravasa,3,81
