player_name,team_name,hero_name,usage_count
Eileen,Milk Tea,Mei,13
Xerion,Team Peps,Juno,13
AlphaYi,Geekay Esports,Symmetra,13
Kai,Anyone's Legend,Emre,13
Zeb,LuneX Gaming,Orisa,13
scuffed,Extinction,Kiriko,13
Yoshinori2k,Team Secret,Tracer,13
MSCG,MieMieYang,Kiriko,13
Pugz,FURY,Lúcio,13
TKL,Quasar Esports,Sojourn,13
Huntin,Quasar Esports,Kiriko,13
Rokit,Disguised,Symmetra,12
HeeSang,Crazy Raccoon,Vendetta,12
pav2l,Telomere,Sojourn,12
NewJ,ENTER FORCE.36,Sojourn,12
mint,Nyam Gaming,Wuyang,12
ta1yo,TOKYO TAIYOs,Mei,12
PEPPI,TOKYO TAIYOs,D.Va,12
PEPPI,TOKYO TAIYOs,Sigma,12
Yot1y,Lazuli,Vendetta,12
D4RT,Poker Face,Vendetta,12
MAX,Crazy Raccoon,D.Va,12
Viol2t,ZETA DIVISION,Lúcio,12
HEISER,ZAN Esports,Zarya,12
SP1NT,RØDE ONSIDE GAMING,Pharah,12
ZEST,T1,Symmetra,12
OPENER,RØDE ONSIDE GAMING,Brigitte,12
WoochaN,Cheeseburger,Lúcio,12
Hypnos,Milk Tea,Lúcio,12
Alphari,All Gamers,Vendetta,12
Belosrea,JD Gaming,Wrecking Ball,12
Mmonk,JD Gaming,Ana,12
Littlemoon,SV,Sojourn,12
TCC,Milk Tea,Lúcio,12
Lengsa,All Gamers,Brigitte,12
Belosrea,JD Gaming,Hazard,12
shy,Weibo Gaming,Emre,12
Lukemino,Dallas Fuel,Brigitte,12
xten,LuneX Gaming,Sojourn,12
Infekted,Team Liquid,Orisa,12
Despair,Rankers,D.Va,12
HRY,99DIVINE,Genji,12
D4IJIN,99DIVINE,Ana,12
Regr3t,FURY,Genji,12
Ezrai,FURY,Lúcio,12
Pugz,FURY,Ana,12
Tred,Disguised,Ramattra,11
MER1T,Team Falcons,Cassidy,11
Seonjun,Dallas Fuel,Genji,11
Lukemino,Dallas Fuel,Ana,11
HeeSang,Crazy Raccoon,Pharah,11
Quartz,Twisted Minds,Sojourn,11
TR33,Team Liquid,Widowmaker,11
homerunball,Please Not Hero Ban,Orisa,11
Elysia,Telomere,Kiriko,11
Ydot,ENTER FORCE.36,Wuyang,11
APDO,Nyam Gaming,Symmetra,11
SLEY,VARREL,Wuyang,11
Mihawk,TOKYO TAIYOs,Baptiste,11
Breadturtle,Telomere,Vendetta,11
pav2l,Telomere,Emre,11
Elysia,Telomere,Juno,11
Gur3um,Poker Face,Zarya,11
STALK3R,Crazy Raccoon,Sojourn,11
knife,ZETA DIVISION,Symmetra,11
HEISER,ZAN Esports,Doomfist,11
KIVIS,ZAN Esports,Juno,11
perr,New Era,Sojourn,11
Jasm1ne,T1,Zarya,11
Faith,Cheeseburger,Ana,11
A1IEN,ZAN Esports,Emre,11
Taimouren,Milk Tea,Sojourn,11
Taimouren,Milk Tea,Emre,11
feiyang,Milk Tea,Zarya,11
Lilko,Homie E,Vendetta,11
Remedy,Homie E,Juno,11
Kaneki,JD Gaming,Vendetta,11
Belosrea,JD Gaming,Winston,11
feiyang,Milk Tea,Ramattra,11
Limbo,DEG,Winston,11
Landon,Virtus.pro,Juno,11
FiXa,Virtus.pro,Brigitte,11
Taejong,Al Qadsiah,Tracer,11
Taejong,Al Qadsiah,Symmetra,11
Galaa,Al Qadsiah,Juno,11
WMaimone,Anyone's Legend,Tracer,11
Lukemino,Dallas Fuel,Illari,11
Lethal,Spacestation Gaming,Cassidy,11
Lethal,Spacestation Gaming,Sojourn,11
xten,LuneX Gaming,Emre,11
UYOU,Team Secret,Wrecking Ball,11
Despair,Rankers,Zarya,11
