player_name,team_name,hero_name,usage_count
SirMajed,Al Qadsiah,Juno,7
SirMajed,Al Qadsiah,Brigitte,7
SirMajed,Al Qadsiah,Lúcio,7
AlphaYi,Geekay Esports,Pharah,7
Kai,Anyone's Legend,Sojourn,7
Willys,Team Peps,Mauga,7
Galaa,Al Qadsiah,Ana,7
Taejong,Al Qadsiah,Genji,7
amdp,Anyone's Legend,Mauga,7
Seonjun,Dallas Fuel,Pharah,7
Kellan,Dallas Fuel,D.Va,7
Kellan,Dallas Fuel,Ramattra,7
TR33,Team Liquid,Cassidy,7
Zeb,LuneX Gaming,Zarya,7
Colourhex,The Gatos Guapos,Emre,7
PKFishy,FURY,Vendetta,7
Lumi,Quasar Esports,D.Va,7
PaLee,Team Secret,Juno,7
Lep,Disguised,Jetpack Cat,6
Lep,Disguised,Juno,6
Willys,Team Peps,Domina,6
DONGHAK,T1,Domina,6
DONGHAK,T1,D.Va,6
Bliss,T1,Jetpack Cat,6
Kevster,Virtus.pro,Sojourn,6
JunBin,Crazy Raccoon,Domina,6
Willys,Team Peps,Wrecking Ball,6
LeeSooMin,Weibo Gaming,Illari,6
Rupal,Team Liquid,Kiriko,6
Ch0r0ng,Crazy Raccoon,Brigitte,6
NewJ,ENTER FORCE.36,Widowmaker,6
Heesung,ENTER FORCE.36,Wrecking Ball,6
Roxy,Nyam Gaming,Hazard,6
orca,Nyam Gaming,Juno,6
epic,TOKYO TAIYOs,Kiriko,6
Setsuna,Lazuli,Emre,6
Setsuna,Lazuli,Symmetra,6
Setsuna,Lazuli,Widowmaker,6
HRY,99DIVINE,Echo,6
NEIVIS,Please Not Hero Ban,Baptiste,6
Daisy,Nyam Gaming,Widowmaker,6
Sakume,Please Not Hero Ban,Illari,6
SORI,99DIVINE,Sojourn,6
ICHI,99DIVINE,Wrecking Ball,6
Edison,ENTER FORCE.36,Genji,6
Heesung,ENTER FORCE.36,Winston,6
Vosa1q,Telomere,Winston,6
Elysia,Telomere,Ana,6
Sakume,Please Not Hero Ban,Juno,6
orca,Nyam Gaming,Ana,6
D4RT,Poker Face,Widowmaker,6
Gur3um,Poker Face,D.Va,6
STALK3R,Crazy Raccoon,Symmetra,6
BERNAR,ZETA DIVISION,Orisa,6
shu,ZETA DIVISION,Baptiste,6
CARU,Poker Face,Ana,6
TenTen,Poker Face,Jetpack Cat,6
perr,New Era,Cassidy,6
perr,New Era,Widowmaker,6
FARMER,Cheeseburger,Hazard,6
Argon,Cheeseburger,Pharah,6
MCD,New Era,Kiriko,6
Checkmate,Team Falcons,Pharah,6
SOMEONE,Team Falcons,Zarya,6
JunBin,Crazy Raccoon,Wrecking Ball,6
Becky,ZAN Esports,Pharah,6
Mealgaru,ZETA DIVISION,Winston,6
Mealgaru,ZETA DIVISION,Zarya,6
Mealgaru,ZETA DIVISION,D.Va,6
KILO,RØDE ONSIDE GAMING,Bastion,6
DONGHAK,T1,Wrecking Ball,6
JunBin,Crazy Raccoon,Ramattra,6
CH0R0NG,Crazy Raccoon,Jetpack Cat,6
ZeSin,Cheeseburger,Bastion,6
SUNZO,Weibo Gaming,Zarya,6
JAYA,Naive Piggy,Pharah,6
Pineapple,JD Gaming,Widowmaker,6
BABAYAGA,SV,Symmetra,6
Littlemoon,SV,Widowmaker,6
Noy,SV,Illari,6
Ezhan,All Gamers,Soldier: 76,6
Taimouren,Milk Tea,Tracer,6
Hypnos,Milk Tea,Juno,6
guxue,Weibo Gaming,Winston,6
prot3ct,SV,Orisa,6
Insane,All Gamers,Symmetra,6
SirMajed,Al Qadsiah,Illari,6
LBBD7,Geekay Esports,Sojourn,6
FiNN,Geekay Esports,Jetpack Cat,6
FiNN,Geekay Esports,Brigitte,6
Tama,Anyone's Legend,Zarya,6
Khenail,Anyone's Legend,Juno,6
Seonjun,Dallas Fuel,Echo,6
UltraViolet,Spacestation Gaming,Wuyang,6
Lep,Disguised,Brigitte,6
Zeruhh,Team Liquid,Pharah,6
Hawk,Spacestation Gaming,Orisa,6
PaLee,Team Secret,Brigitte,6
brysonbtw,Rankers,Symmetra,6
Zephyr,Rankers,Sojourn,6
sgy,The Gatos Guapos,Symmetra,6
Beeple,Quasar Esports,Kiriko,6
Sunset,MieMieYang,Widowmaker,6
brysonbtw,Rankers,Echo,6
Hyunjae,MieMieYang,Illari,6
Dip,Team Peps,Genji,6
Willys,Team Peps,Winston,6
Recall,All Gamers,Lúcio,6
Lengsa,All Gamers,Ana,6
Vestola,Al Qadsiah,Winston,6
MER1T,Team Falcons,Widowmaker,5
Kellan,Dallas Fuel,Sigma,5
MAKA,Weibo Gaming,Jetpack Cat,5
MAKA,Weibo Gaming,Baptiste,5
TVNT,Twisted Minds,Domina,5
Vega,Team Liquid,Wuyang,5
TR33,Team Liquid,Tracer,5
JaeWoo,Twisted Minds,Widowmaker,5
Sakume,Please Not Hero Ban,Mizuki,5
Elysia,Telomere,Baptiste,5
ans,TOKYO TAIYOs,Emre,5
epic,TOKYO TAIYOs,Wuyang,5
NICO,VARREL,Symmetra,5
DOX,Lazuli,Doomfist,5
NHZ,Lazuli,Lúcio,5
homerunball,Please Not Hero Ban,Zarya,5
Sakume,Please Not Hero Ban,Ana,5
Daisy,Nyam Gaming,Symmetra,5
umi,Lazuli,Kiriko,5
